gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_0-12m,tenure_group_12-24m,tenure_group_24-48m,tenure_group_48-60m,tenure_group_60m+,AvgMonthlySpend
Female,No,1,0,1,0,No phone service,No,Yes,No,No,No,No,1,29.85,29.85,0,False,False,False,False,False,True,False,True,False,False,False,False,14.925
Male,No,0,0,34,1,No,Yes,No,Yes,No,No,No,0,56.95,1889.5,0,False,False,True,False,False,False,True,False,False,True,False,False,53.98571428571429
Male,No,0,0,2,1,No,Yes,Yes,No,No,No,No,1,53.85,108.15,1,False,False,False,False,False,False,True,True,False,False,False,False,36.050000000000004
Male,No,0,0,45,0,No phone service,Yes,No,Yes,Yes,No,No,0,42.3,1840.75,0,False,False,True,False,False,False,False,False,False,True,False,False,40.016304347826086
Female,No,0,0,2,1,No,No,No,No,No,No,No,1,70.7,151.65,1,True,False,False,False,False,True,False,True,False,False,False,False,50.550000000000004
Female,No,0,0,8,1,Yes,No,No,Yes,No,Yes,Yes,1,99.65,820.5,1,True,False,False,False,False,True,False,True,False,False,False,False,91.16666666666667
Male,No,0,1,22,1,Yes,No,Yes,No,No,Yes,No,1,89.1,1949.4,0,True,False,False,False,True,False,False,False,True,False,False,False,84.75652173913043
Female,No,0,0,10,0,No phone service,Yes,No,No,No,No,No,0,29.75,301.9,0,False,False,False,False,False,False,True,True,False,False,False,False,27.44545454545454
Female,No,1,0,28,1,Yes,No,No,Yes,Yes,Yes,Yes,1,104.8,3046.05,1,True,False,False,False,False,True,False,False,False,True,False,False,105.03620689655173
Male,No,0,1,62,1,No,Yes,Yes,No,No,No,No,0,56.15,3487.95,0,False,False,True,False,False,False,False,False,False,False,False,True,55.364285714285714
Male,No,1,1,13,1,No,Yes,No,No,No,No,No,1,49.95,587.45,0,False,False,False,False,False,False,True,False,True,False,False,False,41.96071428571429
Male,No,0,0,16,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,18.95,326.8,0,False,True,False,True,True,False,False,False,True,False,False,False,19.223529411764705
Male,No,1,0,58,1,Yes,No,No,Yes,No,Yes,Yes,0,100.35,5681.1,0,True,False,True,False,True,False,False,False,False,False,True,False,96.28983050847458
Male,No,0,0,49,1,Yes,No,Yes,Yes,No,Yes,Yes,1,103.7,5036.3,1,True,False,False,False,False,False,False,False,False,False,True,False,100.726
Male,No,0,0,25,1,No,Yes,No,Yes,Yes,Yes,Yes,1,105.5,2686.05,0,True,False,False,False,False,True,False,False,False,True,False,False,103.3096153846154
