feature,importance
MonthlyCharges,4.939642920378058
tenure_group_0-12m,2.8482708148247102
tenure_group_24-48m,2.531836062931178
InternetService_No,2.417679527111791
tenure_group_60m+,2.23647750315054
tenure_group_12-24m,2.120513123128382
tenure_group_48-60m,1.9165670967279909
tenure,1.5867914221510233
PhoneService,1.226285512851371
InternetService_Fiber optic,1.2030411519582143
TotalCharges,1.1258270750932784
AvgMonthlySpend,0.9563524074865325
PaymentMethod_Electronic check,0.7308243242781262
StreamingTV,0.5930381663041963
StreamingMovies,0.592534597782288
TechSupport,0.5858242518363898
OnlineSecurity,0.5489492691820007
PaymentMethod_Mailed check,0.4719136192279788
OnlineBackup,0.46931514268517693
PaymentMethod_Credit card (automatic),0.40745894664024007
DeviceProtection,0.394079191440187
Contract_Two year,0.3628024017022672
MultipleLines,0.2672696403611104
Dependents,0.2371951639661412
gender,0.19623319587024776
Partner,0.1253755439305744
SeniorCitizen,0.09532038685514731
Contract_One year,0.07744674806760699
PaperlessBilling,0.008049715354875215
