feature,importance
TotalCharges,0.10301488248908865
tenure,0.0996555426355833
MonthlyCharges,0.09617581981560243
AvgMonthlySpend,0.09482437355839918
PaymentMethod_Electronic check,0.08779203602422501
TechSupport,0.07833768867386548
OnlineSecurity,0.07174727452648835
InternetService_Fiber optic,0.048034539879237205
OnlineBackup,0.033774286632481915
DeviceProtection,0.02520989368952731
Dependents,0.02447994632382641
Contract_Two year,0.02248834766297547
tenure_group_0-12m,0.022158920892309076
Partner,0.021850212154037537
gender,0.019162245689330643
MultipleLines,0.016727557703274307
PaperlessBilling,0.015079802227019544
PaymentMethod_Credit card (automatic),0.014560085204144969
StreamingMovies,0.01426280138512261
Contract_One year,0.014121449896535297
StreamingTV,0.01341892339638361
SeniorCitizen,0.011918712054313958
PaymentMethod_Mailed check,0.011244275288002726
tenure_group_60m+,0.008079974447046546
PhoneService,0.007201655446063112
tenure_group_24-48m,0.006834750037570567
InternetService_No,0.006410650324767731
tenure_group_12-24m,0.0062644759912375255
tenure_group_48-60m,0.005168875951539501
